threshold,precision,recall,f1,accuracy
0.0,0.37,1.0,0.54,0.37
0.06,0.52,1.0,0.69,0.67
0.11,0.58,1.0,0.73,0.73
0.17,0.6,1.0,0.75,0.75
0.22,0.63,1.0,0.77,0.78
0.28,0.64,1.0,0.78,0.79
0.33,0.65,1.0,0.79,0.8
0.39,0.65,1.0,0.79,0.8
0.44,0.69,1.0,0.82,0.83
0.5,0.69,1.0,0.82,0.83
0.56,0.7,1.0,0.82,0.84
0.61,0.7,1.0,0.82,0.84
0.67,0.74,1.0,0.85,0.87
0.72,0.76,1.0,0.87,0.89
0.78,0.79,1.0,0.88,0.9
0.83,0.8,0.98,0.88,0.9
0.89,0.89,0.95,0.92,0.94
0.94,0.95,0.93,0.94,0.96
1.0,1.0,0.02,0.05,0.64
